facility,record,startTime,endTime
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009912997,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100684,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009913068,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101478,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009913086,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100021,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009913111,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100137,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009913175,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100455,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110012311649,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102431,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110013402825,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102491,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110020625858,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101117,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110022329461,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101524,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110022329924,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101290,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110025390253,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100641,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110028276595,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100633,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110038330393,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102849,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110039517065,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102369,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110039671398,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100803,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110039672048,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101532,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110039674769,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102032,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110055618577,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100498,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110064596815,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101214,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110064778129,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101184,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110064784443,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100471,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110066888915,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101842,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110039671174,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL000001,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110069999705,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL000001,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070000014,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100528,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070000549,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101231,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070001727,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100846,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070001916,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102121,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070001980,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101346,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070002245,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100129,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070002889,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100986,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070003234,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100323,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070003364,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100218,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070003839,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100102,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070003965,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100226,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070003999,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102075,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000574708,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KSL042714,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000574708,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KSL042722,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000732137,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KSL036714,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002045741,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0025577,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002045750,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0034011,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002045812,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0038644,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002045830,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0050377,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110003140636,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KSL117731,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110003154773,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KSL081973,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006367083,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KSL039128,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006623868,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KSL099571,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006763993,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0049751,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009741538,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0027529,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009741574,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0024821,,2019-04-09T00:00:00
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009742065,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0090671,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009742083,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0116882,,2016-01-04T00:00:00
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009966563,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0117625,,2014-05-10T00:00:00
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009967802,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0048143,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009967811,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0048399,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009968053,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0030562,,2020-06-18T00:00:00
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009968099,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0031143,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110010837103,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0021903,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110010837112,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.KS0022462,,
