facility,s2
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110059796813,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5523882010617053184
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110059796831,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5523882010617053184
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110003552646,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.9935713923632201728
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110064777585,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.9935713923632201728
